date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-13,823915,MIL,LAD,HRR,Jackson Chourio,694192,1.5,Over,1.33121,-117,2026-08-13T15:05:00Z,,,3,1.669,W,0.8547
2026-08-13,823829,PIT,MIA,HRR,Otto Lopez,672640,1.5,Over,1.31283,-137,2026-08-13T15:05:00Z,,,0,-1.313,L,-1.0
2026-08-13,823669,PHI,MIN,HRR,Byron Buxton,621439,1.5,Over,1.2796,-115,2026-08-13T15:05:00Z,,,1,-0.28,L,-1.0
2026-08-13,824238,CLE,DET,HRR,Dillon Dingler,693307,1.5,Over,1.27343,-110,2026-08-13T15:05:00Z,,,1,-0.273,L,-1.0
2026-08-13,824561,CIN,CWS,HRR,Elly De La Cruz,682829,1.5,Over,1.24656,-127,2026-08-13T15:05:00Z,,,2,0.753,W,0.7874
2026-08-13,823829,PIT,MIA,HRR,Brandon Lowe,664040,1.5,Over,1.19631,-130,2026-08-13T15:05:00Z,,,1,-0.196,L,-1.0
2026-08-13,823669,PHI,MIN,HRR,Ryan Jeffers,680777,1.5,Over,1.16965,105,2026-08-13T15:05:00Z,,,2,0.83,W,1.05
2026-08-13,823508,SEA,NYY,HRR,Ben Rice,700250,1.5,Over,1.16864,-105,2026-08-13T15:05:00Z,,,0,-1.169,L,-1.0
2026-08-13,824561,CIN,CWS,HRR,Sal Stewart,701398,1.5,Over,1.10577,-130,2026-08-13T15:05:00Z,,,8,6.894,W,0.7692
2026-08-13,823915,MIL,LAD,HRR,Andy Pages,681624,1.5,Over,1.07525,-123,2026-08-13T15:05:00Z,,,0,-1.075,L,-1.0
2026-08-13,824561,CIN,CWS,HRR,Munetaka Murakami,808959,1.5,Over,1.06003,-104,2026-08-13T15:05:00Z,,,0,-1.06,L,-1.0
2026-08-13,822776,BOS,TOR,HRR,Ceddanne Rafaela,678882,1.5,Over,1.00861,-123,2026-08-13T15:05:00Z,,,4,2.991,W,0.813
2026-08-13,824238,CLE,DET,HRR,Kevin McGonigle,805808,1.5,Over,0.98449,103,2026-08-13T15:05:00Z,,,2,1.016,W,1.03
2026-08-13,823915,MIL,LAD,HRR,Jake Bauers,641343,1.5,Over,0.93949,130,2026-08-13T15:05:00Z,,,2,1.061,W,1.3
2026-08-13,823508,SEA,NYY,HRR,Randy Arozarena,668227,1.5,Over,0.91997,100,2026-08-13T15:05:00Z,,,1,0.08,L,-1.0
