date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-19,824318,LAD,COL,ER,Kyle Freeland,607536,3.5,Under,2.9543,105,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,TB,Tim Tawa,694374,1.5,Over,0.00661,235,2026-08-19T13:40:00Z,EV,28.26
2026-08-19,824722,AZ,BOS,TB,Ryan Waldschmidt,814439,1.5,Over,-0.17402,280,2026-08-19T13:40:00Z,EV,28.18
2026-08-19,823424,MIA,PHI,TB,Justin Crawford,702222,1.5,Over,-0.31271,280,2026-08-19T13:40:00Z,EV,27.9
2026-08-19,823424,MIA,PHI,TB,Joe Mack,691788,1.5,Over,-0.00889,250,2026-08-19T13:40:00Z,EV,25.39
2026-08-19,823424,MIA,PHI,TB,Owen Caissie,683357,1.5,Over,-0.27269,220,2026-08-19T13:40:00Z,EV,17.72
2026-08-19,822937,TOR,TB,TB,Jesus Sanchez,660821,1.5,Over,0.19213,245,2026-08-19T13:40:00Z,EV,15.78
2026-08-19,823587,SD,NYM,TB,Francisco Alvarez,682626,1.5,Over,0.3629,220,2026-08-19T13:40:00Z,EV,15.58
2026-08-19,823587,SD,NYM,TB,Gavin Sheets,657757,1.5,Over,0.1581,197,2026-08-19T13:40:00Z,EV,15.4
2026-08-19,824722,AZ,BOS,TB,Wilyer Abreu,677800,1.5,Over,0.37583,125,2026-08-19T13:40:00Z,EV,15.35
2026-08-19,823342,DET,PIT,TB,Esmerlyn Valdez,699013,1.5,Over,0.43914,182,2026-08-19T13:40:00Z,EV,14.92
2026-08-19,823424,MIA,PHI,TB,J.T. Realmuto,592663,1.5,Over,-0.16867,200,2026-08-19T13:40:00Z,EV,14.21
2026-08-19,824722,AZ,BOS,TB,Gabriel Moreno,672515,1.5,Over,0.50161,165,2026-08-19T13:40:00Z,EV,13.78
2026-08-19,824155,LAA,HOU,TB,Josh Lowe,666139,1.5,Over,-0.03669,190,2026-08-19T13:40:00Z,EV,13.5
2026-08-19,823587,SD,NYM,TB,Luis Rengifo,650859,1.5,Over,0.01149,195,2026-08-19T13:40:00Z,EV,13.34
2026-08-19,824640,CWS,CHC,TB,Michael Conforto,624424,1.5,Over,0.18457,290,2026-08-19T13:40:00Z,EV,13.26
2026-08-19,824640,CWS,CHC,TB,Miguel Vargas,678246,1.5,Over,0.78034,170,2026-08-19T13:40:00Z,BOTH,13.17
2026-08-19,823424,MIA,PHI,TB,Brandon Marsh,669016,1.5,Over,0.1057,175,2026-08-19T13:40:00Z,EV,12.44
2026-08-19,824722,AZ,BOS,TB,Corbin Carroll,682998,1.5,Over,0.48299,138,2026-08-19T13:40:00Z,EV,12.37
2026-08-19,824801,NYY,BAL,TB,Coby Mayo,691723,1.5,Over,0.10633,185,2026-08-19T13:40:00Z,EV,12.14
2026-08-19,824722,AZ,BOS,TB,Nolan Arenado,571448,1.5,Over,0.18919,180,2026-08-19T13:40:00Z,EV,12.07
2026-08-19,824155,LAA,HOU,TB,Yordan Alvarez,670541,1.5,Over,1.4283,-105,2026-08-19T13:40:00Z,Z,-0.05
2026-08-19,824640,CWS,CHC,TB,Munetaka Murakami,808959,1.5,Over,0.89765,160,2026-08-19T13:40:00Z,Z,1.36
2026-08-19,822937,TOR,TB,TB,Junior Caminero,691406,1.5,Over,0.89672,110,2026-08-19T13:40:00Z,Z,0.85
2026-08-19,824318,LAD,COL,TB,Shohei Ohtani,660271,1.5,Over,0.85382,-177,2026-08-19T13:40:00Z,Z,11.43
2026-08-19,824801,NYY,BAL,TB,Pete Alonso,624413,1.5,Over,0.84,105,2026-08-19T13:40:00Z,Z,1.03
2026-08-19,824476,STL,CIN,TB,Alec Burleson,676475,1.5,Over,0.79239,117,2026-08-19T13:40:00Z,Z,0.25
2026-08-19,823664,ATL,MIN,TB,Matt Olson,621566,1.5,Over,0.76233,116,2026-08-19T13:40:00Z,Z,-1.8
2026-08-19,823424,MIA,PHI,TB,Bryce Harper,547180,1.5,Over,0.74828,130,2026-08-19T13:40:00Z,Z,6.46
2026-08-19,823664,ATL,MIN,TB,Drake Baldwin,686948,1.5,Over,0.70081,118,2026-08-19T13:40:00Z,Z,-0.1
2026-08-19,823664,ATL,MIN,TB,Byron Buxton,621439,1.5,Over,0.68339,108,2026-08-19T13:40:00Z,Z,-0.85
2026-08-19,824640,CWS,CHC,TB,Pete Crow-Armstrong,691718,1.5,Over,0.6523,135,2026-08-19T13:40:00Z,Z,5.15
2026-08-19,823748,SEA,MIL,TB,Dominic Canzone,686527,1.5,Over,0.62862,171,2026-08-19T13:40:00Z,Z,-1.46
2026-08-19,823424,MIA,PHI,TB,Griffin Conine,665052,1.5,Over,0.6239,165,2026-08-19T13:40:00Z,Z,6.43
2026-08-19,823424,MIA,PHI,TB,Kyle Schwarber,656941,1.5,Over,0.57141,115,2026-08-19T13:40:00Z,Z,1.82
2026-08-19,823587,SD,NYM,TB,Francisco Lindor,596019,1.5,Over,0.56903,128,2026-08-19T13:40:00Z,Z,0.83
2026-08-19,823664,ATL,MIN,TB,Michael Harris,671739,1.5,Over,0.53079,115,2026-08-19T13:40:00Z,Z,-2.7
2026-08-19,824801,NYY,BAL,TB,Ben Rice,700250,1.5,Over,0.51773,100,2026-08-19T13:40:00Z,Z,-1.08
2026-08-19,822860,WSH,TEX,TB,Joc Pederson,592626,1.5,Over,0.51167,165,2026-08-19T13:40:00Z,Z,4.63
2026-08-19,824155,LAA,HOU,TB,Mike Trout,545361,1.5,Over,0.5111,142,2026-08-19T13:40:00Z,Z,-1.51
2026-08-19,824318,LAD,COL,HRR,Jake McCarthy,664983,1.5,Over,1.3579,-149,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,HRR,Luis Garcia,671277,1.5,Over,1.2753,-147,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,HRR,Seiya Suzuki,673548,1.5,Over,1.1935,-115,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,HRR,Cole Carrigg,694249,1.5,Over,1.1863,-133,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,HRR,Pete Crow-Armstrong,691718,1.5,Over,1.0446,-118,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,HRR,Mickey Moniak,666160,1.5,Over,1.0266,-134,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,HRR,Nick Gonzales,693304,1.5,Over,1.0035,-127,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,HRR,Shohei Ohtani,660271,2.5,Over,0.9496,-139,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,HRR,Oneil Cruz,665833,1.5,Over,0.9195,100,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,HRR,Pedro Ramirez,699393,1.5,Over,0.8962,109,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,HRR,Griffin Conine,665052,1.5,Over,0.8801,107,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,HRR,Otto Lopez,672640,1.5,Over,0.87,-127,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,HRR,CJ Abrams,682928,1.5,Over,0.8547,-110,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,HRR,Willi Castro,650489,1.5,Over,0.8374,-107,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,HRR,Ben Rice,700250,1.5,Over,0.8212,-150,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,HRR,Yandy Diaz,650490,1.5,Over,0.8179,-145,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,HRR,Jake Bauers,641343,1.5,Over,0.8147,130,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,HRR,Esmerlyn Valdez,699013,1.5,Over,0.8101,123,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,HRR,Andy Pages,681624,2.5,Over,0.7916,-121,2026-08-19T13:40:00Z,,
2026-08-19,823342,DET,PIT,HRR,Bryan Reynolds,668804,1.5,Over,0.7557,-108,2026-08-19T13:40:00Z,,
