date,market,entity,player_id,team,proj,z,price,rank,pa,on_board
2026-08-15,HRR,Ben Rice,700250,NYY,1.1722,,-120,8,500,Y
2026-08-15,HRR,Junior Caminero,691406,TB,1.1056,,-124,9,530,Y
2026-08-15,HRR,Otto Lopez,672640,MIA,1.0658,,-160,10,515,Y
2026-08-15,HRR,Yandy Diaz,650490,TB,1.0543,,-135,11,515,Y
2026-08-15,HRR,Angel Genao,694197,CLE,1.0385,,109,12,34,
2026-08-15,HRR,Luis Rengifo,650859,SD,1.0312,,-108,13,104,Y
2026-08-15,HRR,Fernando Tatis Jr.,665487,SD,1.0214,,-127,14,533,Y
2026-08-15,HRR,Luis Campusano,669134,SD,1.0138,,131,15,146,Y
2026-08-15,HRR,Heliot Ramos,671218,NYY,1.0105,,-109,16,306,Y
2026-08-15,HRR,Bryce Harper,547180,PHI,1.0068,,-113,17,523,Y
2026-08-15,HRR,Xavier Edwards,669364,MIA,1.0009,,-147,18,514,Y
2026-08-15,HRR,Kyle Schwarber,656941,PHI,0.9825,,-125,19,521,Y
2026-08-15,HRR,Ty France,664034,SD,0.9721,,-111,20,344,Y
2026-08-15,HRR,Chase DeLauter,800050,CLE,0.9323,,-142,21,448,Y
2026-08-15,HRR,George Lombard,806146,NYY,0.9291,,-178,22,35,
2026-08-15,HRR,Luis Arraez,650333,PHI,0.9176,,-156,23,464,Y
2026-08-15,HRR,Gleyber Torres,650402,DET,0.9085,,-122,24,289,Y
2026-08-15,HRR,Seiya Suzuki,673548,CHC,0.8997,,-145,25,460,
2026-08-15,HRR,Kevin McGonigle,805808,DET,0.8977,,-114,26,532,
2026-08-15,HRR,Gabriel Moreno,672515,AZ,0.8908,,-130,27,391,
2026-08-15,HRR,Jung Hoo Lee,808982,SF,0.8652,,-168,28,455,
2026-08-15,HRR,Jeremy Pena,665161,HOU,0.818,,-137,29,327,
2026-08-15,HRR,Ben Malgeri,701162,DET,0.772,,127,30,64,
2026-08-15,HRR,Bryce Eldridge,805811,SF,0.7635,,-130,31,322,
2026-08-15,HRR,Bryan De La Cruz,650559,PHI,0.7619,,110,32,34,
2026-08-15,HRR,Jonathan Aranda,666018,TB,0.7109,,-105,33,517,
2026-08-15,HRR,Brandon Nimmo,607043,TEX,0.7075,,-145,34,494,
2026-08-15,HRR,Trent Grisham,663757,NYY,0.7013,,-115,35,407,
2026-08-15,HRR,CJ Abrams,682928,WSH,0.6976,,-105,36,517,
2026-08-15,HRR,Rafael Devers,646240,SF,0.6811,,-118,37,515,
2026-08-15,HRR,Javier Baez,595879,DET,0.6703,,105,38,129,
2026-08-15,HRR,Spencer Torkelson,679529,DET,0.6638,,-105,39,480,
2026-08-15,HRR,Osleivis Basabe,678545,SF,0.6256,,-112,40,48,
2026-08-15,HRR,Nico Hoerner,663538,CHC,0.6246,,-126,41,529,
