date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board
2026-08-17,DET@PIT,DET,4.5,Over,0.487,0.44,0.047,115,williamhill_us,4,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,4.5,Under,0.513,0.56,-0.047,-145,draftkings,4,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,5.5,Over,0.369,0.333,0.036,180,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,5.5,Under,0.631,0.667,-0.036,-250,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,6.5,Over,0.27,0.25,0.02,275,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,6.5,Under,0.73,0.75,-0.02,-400,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,7.5,Over,0.19,0.188,0.002,400,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,7.5,Under,0.81,0.812,-0.002,-650,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,8.5,Over,0.128,0.134,-0.006,600,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,8.5,Under,0.872,0.866,0.006,-1200,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,2.5,Over,0.739,0.667,0.072,-250,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,2.5,Under,0.261,0.333,-0.072,180,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,3.5,Over,0.601,0.531,0.071,-122,fanduel,5,4.66,Expected Lineup,823343,True
2026-08-17,DET@PIT,PIT,3.5,Under,0.399,0.469,-0.071,105,draftkings,5,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,4.5,Over,0.464,0.395,0.069,137,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,4.5,Under,0.536,0.605,-0.069,-182,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,5.5,Over,0.343,0.286,0.057,225,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,5.5,Under,0.657,0.714,-0.057,-333,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,6.5,Over,0.242,0.208,0.035,350,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,6.5,Under,0.758,0.792,-0.034,-550,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,7.5,Over,0.167,0.145,0.022,550,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,7.5,Under,0.833,0.855,-0.022,-1000,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,8.5,Over,0.111,0.11,0.001,750,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,DET@PIT,PIT,8.5,Under,0.889,0.89,-0.001,-2000,williamhill_us,1,4.66,Expected Lineup,823343,False
2026-08-17,AZ@BOS,AZ,2.5,Over,0.723,0.68,0.043,-275,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,2.5,Under,0.277,0.32,-0.043,190,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,3.5,Over,0.587,0.559,0.028,-143,williamhill_us,5,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,3.5,Under,0.413,0.441,-0.028,116,fanduel,5,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,4.5,Over,0.454,0.428,0.025,120,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,4.5,Under,0.546,0.572,-0.025,-154,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,5.5,Over,0.338,0.328,0.01,187,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,5.5,Under,0.662,0.672,-0.01,-250,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,6.5,Over,0.241,0.243,-0.002,290,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,6.5,Under,0.759,0.757,0.002,-400,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,7.5,Over,0.167,0.172,-0.005,450,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,7.5,Under,0.833,0.828,0.005,-700,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,8.5,Over,0.115,0.133,-0.018,600,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,AZ,8.5,Under,0.885,0.867,0.018,-1400,williamhill_us,1,4.6,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,2.5,Over,0.773,0.742,0.03,-400,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,2.5,Under,0.227,0.258,-0.03,260,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,3.5,Over,0.645,0.625,0.02,-200,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,3.5,Under,0.355,0.375,-0.02,150,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,4.5,Over,0.509,0.5,0.009,-106,fanduel,5,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,4.5,Under,0.491,0.5,-0.009,-107,betrivers,5,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,5.5,Over,0.382,0.385,-0.003,145,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,5.5,Under,0.618,0.615,0.003,-187,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,6.5,Over,0.272,0.286,-0.014,225,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,6.5,Under,0.728,0.714,0.014,-333,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,7.5,Over,0.191,0.212,-0.021,340,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,7.5,Under,0.809,0.788,0.021,-550,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,8.5,Over,0.129,0.156,-0.028,500,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,AZ@BOS,BOS,8.5,Under,0.871,0.844,0.028,-900,williamhill_us,1,4.96,Expected Lineup,824725,False
2026-08-17,SD@NYM,SD,2.5,Over,0.654,0.672,-0.018,-250,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,2.5,Under,0.346,0.328,0.018,187,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,3.5,Over,0.513,0.531,-0.018,-125,betrivers,5,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,3.5,Under,0.487,0.469,0.018,105,williamhill_us,5,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,4.5,Over,0.381,0.418,-0.037,125,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,4.5,Under,0.619,0.582,0.037,-162,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,5.5,Over,0.27,0.312,-0.042,200,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,5.5,Under,0.73,0.688,0.042,-275,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,6.5,Over,0.186,0.234,-0.048,300,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,6.5,Under,0.814,0.766,0.048,-450,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,7.5,Over,0.122,0.17,-0.048,450,williamhill_us,1,4.04,Expected Lineup,823589,False
2026-08-17,SD@NYM,SD,7.5,Under,0.878,0.83,0.048,-800,williamhill_us,1,4.04,Expected Lineup,823589,False
