date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,pay,ev,on_board,actual,settle,units
2026-08-19,ATL@MIN,MIN,7.5,Under,0.858,0.838,0.02,-800,williamhill_us,1,4.44,CONF (statsapi),823664,0.125,-0.0348,False,6,W,0.125
2026-08-19,ATL@MIN,MIN,8.5,Over,0.089,0.117,-0.029,700,williamhill_us,1,4.44,CONF (statsapi),823664,7.0,-0.288,False,6,L,-1.0
2026-08-19,ATL@MIN,MIN,8.5,Under,0.911,0.883,0.029,-1600,williamhill_us,1,4.44,CONF (statsapi),823664,0.0625,-0.0321,False,6,W,0.0625
2026-08-19,CWS@CHC,CWS,2.5,Over,0.662,0.62,0.042,-187,williamhill_us,2,4.07,CONF (statsapi),824640,0.5348,0.016,False,3,W,0.5348
2026-08-19,CWS@CHC,CWS,2.5,Under,0.338,0.38,-0.042,150,betrivers,2,4.07,CONF (statsapi),824640,1.5,-0.155,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,3.5,Over,0.518,0.479,0.04,100,williamhill_us,5,4.07,CONF (statsapi),824640,1.0,0.036,True,3,L,-1.0
2026-08-19,CWS@CHC,CWS,3.5,Under,0.482,0.521,-0.04,-117,betrivers,5,4.07,CONF (statsapi),824640,0.8547,-0.106,False,3,W,0.8547
2026-08-19,CWS@CHC,CWS,4.5,Over,0.384,0.365,0.019,162,williamhill_us,2,4.07,CONF (statsapi),824640,1.62,0.0061,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,4.5,Under,0.616,0.635,-0.019,-200,betrivers,2,4.07,CONF (statsapi),824640,0.5,-0.076,False,3,W,0.5
2026-08-19,CWS@CHC,CWS,5.5,Over,0.274,0.258,0.017,260,williamhill_us,1,4.07,CONF (statsapi),824640,2.6,-0.0136,False,3,L,-1.0
2026-08-19,CWS@CHC,CWS,5.5,Under,0.726,0.742,-0.017,-400,williamhill_us,1,4.07,CONF (statsapi),824640,0.25,-0.0925,False,3,W,0.25
