date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board,actual,settle,units
2026-08-17,DET@PIT,PIT,5.5,Under,0.657,0.672,-0.015,-250,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,W,0.4
2026-08-17,DET@PIT,PIT,6.5,Over,0.24,0.234,0.006,300,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,6.5,Under,0.76,0.766,-0.006,-450,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,W,0.2222
2026-08-17,DET@PIT,PIT,7.5,Over,0.164,0.162,0.002,480,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,7.5,Under,0.836,0.838,-0.002,-800,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,W,0.125
2026-08-17,DET@PIT,PIT,8.5,Over,0.108,0.117,-0.009,700,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,8.5,Under,0.892,0.883,0.009,-1600,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,W,0.0625
2026-08-17,AZ@BOS,AZ,2.5,Over,0.724,0.688,0.037,-275,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,2.5,Under,0.276,0.312,-0.037,200,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,2.0
2026-08-17,AZ@BOS,AZ,3.5,Over,0.587,0.563,0.024,-150,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,3.5,Under,0.413,0.437,-0.024,115,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,1.15
2026-08-17,AZ@BOS,AZ,4.5,Over,0.459,0.438,0.021,116,betrivers,5,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,4.5,Under,0.541,0.562,-0.021,-142,fanduel,5,4.63,Expected Lineup,824725,False,1,W,0.7042
2026-08-17,AZ@BOS,AZ,5.5,Over,0.344,0.333,0.011,180,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,5.5,Under,0.656,0.667,-0.011,-250,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,0.4
2026-08-17,AZ@BOS,AZ,6.5,Over,0.246,0.25,-0.004,275,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,6.5,Under,0.754,0.75,0.004,-400,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,0.25
2026-08-17,AZ@BOS,AZ,7.5,Over,0.17,0.173,-0.003,450,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,7.5,Under,0.831,0.827,0.003,-667,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,0.1499
2026-08-17,AZ@BOS,AZ,8.5,Over,0.115,0.134,-0.019,600,williamhill_us,1,4.63,Expected Lineup,824725,False,1,L,-1.0
2026-08-17,AZ@BOS,AZ,8.5,Under,0.885,0.866,0.019,-1200,williamhill_us,1,4.63,Expected Lineup,824725,False,1,W,0.0833
2026-08-17,AZ@BOS,BOS,2.5,Over,0.774,0.731,0.042,-350,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,0.2857
2026-08-17,AZ@BOS,BOS,2.5,Under,0.226,0.269,-0.042,250,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,3.5,Over,0.646,0.607,0.039,-187,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,0.5348
2026-08-17,AZ@BOS,BOS,3.5,Under,0.354,0.393,-0.039,137,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,4.5,Over,0.51,0.49,0.02,-102,fanduel,5,4.94,Expected Lineup,824725,False,11,W,0.9804
2026-08-17,AZ@BOS,BOS,4.5,Under,0.49,0.51,-0.02,-115,draftkings,5,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,5.5,Over,0.381,0.366,0.015,160,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,1.6
2026-08-17,AZ@BOS,BOS,5.5,Under,0.619,0.634,-0.015,-200,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,6.5,Over,0.272,0.269,0.004,250,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,2.5
2026-08-17,AZ@BOS,BOS,6.5,Under,0.728,0.731,-0.004,-350,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,7.5,Over,0.188,0.197,-0.009,375,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,3.75
2026-08-17,AZ@BOS,BOS,7.5,Under,0.812,0.803,0.009,-600,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,AZ@BOS,BOS,8.5,Over,0.125,0.143,-0.017,550,williamhill_us,1,4.94,Expected Lineup,824725,False,11,W,5.5
2026-08-17,AZ@BOS,BOS,8.5,Under,0.875,0.857,0.017,-1200,williamhill_us,1,4.94,Expected Lineup,824725,False,11,L,-1.0
2026-08-17,SD@NYM,SD,2.5,Over,0.651,0.656,-0.004,-225,williamhill_us,1,4.04,Expected Lineup,823589,False,1,L,-1.0
2026-08-17,SD@NYM,SD,2.5,Under,0.349,0.344,0.004,175,williamhill_us,1,4.04,Expected Lineup,823589,False,1,W,1.75
2026-08-17,SD@NYM,SD,3.5,Over,0.512,0.52,-0.008,-115,fanduel,5,4.04,Expected Lineup,823589,False,1,L,-1.0
